pet_id,date,food_amount,sleep_hours,meow_count,weight_kg,name,species,breed,gender,birth_year
pet003,2024-09-25,273,17.1,5,3.5,Angelica,dog,Siamese,male,2020
pet015,2024-11-23,290,16.5,4,4.0,Jose,dog,Munchkin,female,2016
pet002,2025-02-09,183,12.9,0,4.8,Steven,cat,Munchkin,male,2022
pet003,2025-06-17,234,15.2,2,4.5,Angelica,dog,Siamese,male,2020
pet012,2024-10-19,190,15.7,2,2.9,Jessica,dog,Bengal,male,2019
pet004,2024-10-19,260,16.4,3,5.5,Oscar,cat,Bengal,female,2019
pet016,2025-04-21,279,17.2,8,5.2,Mark,cat,British Shorthair,male,2019
pet012,2024-12-08,298,17.3,7,4.8,Jessica,dog,Bengal,male,2019
pet008,2025-03-05,188,15.4,0,2.9,Jessica,cat,British Shorthair,female,2022
pet004,2025-04-15,232,15.9,10,2.9,Oscar,cat,Bengal,female,2019
pet018,2024-10-23,152,17.6,2,5.1,Amy,cat,Bengal,female,2016
pet010,2025-05-13,235,16.5,1,5.5,Chris,dog,British Shorthair,male,2021
pet011,2025-05-01,233,17.9,3,4.1,Lisa,dog,Siamese,female,2020
pet006,2024-08-06,266,16.4,3,4.0,Sandra,dog,Siamese,female,2022
pet009,2024-12-17,283,17.7,7,6.1,Justin,cat,Persian,male,2015
pet010,2024-12-12,188,15.0,9,5.7,Chris,dog,British Shorthair,male,2021
pet014,2024-12-24,202,13.5,2,6.1,Kent,dog,Munchkin,female,2016
pet001,2024-10-07,283,16.1,4,3.1,Charlene,dog,Siamese,female,2022
pet007,2025-07-01,211,16.0,3,6.2,Nicholas,dog,Persian,female,2018
pet008,2025-03-27,155,14.4,9,2.5,Jessica,cat,British Shorthair,female,2022
pet010,2025-03-11,160,14.4,2,3.9,Chris,dog,British Shorthair,male,2021
pet015,2024-10-19,179,17.0,2,4.3,Jose,dog,Munchkin,female,2016
pet013,2024-07-08,242,13.5,3,2.8,Adam,dog,British Shorthair,male,2018
pet011,2025-01-02,215,16.5,3,4.2,Lisa,dog,Siamese,female,2020
pet020,2024-08-08,158,14.6,3,3.0,Veronica,cat,Munchkin,male,2022
pet010,2024-10-23,211,12.9,1,4.7,Chris,dog,British Shorthair,male,2021
pet016,2024-11-29,204,12.9,3,4.5,Mark,cat,British Shorthair,male,2019
pet007,2025-03-26,197,16.6,2,4.5,Nicholas,dog,Persian,female,2018
pet002,2024-12-17,183,14.3,10,4.7,Steven,cat,Munchkin,male,2022
pet020,2025-02-05,161,14.4,7,2.5,Veronica,cat,Munchkin,male,2022
pet015,2025-05-27,224,16.6,8,2.9,Jose,dog,Munchkin,female,2016
pet016,2025-03-25,216,16.1,4,5.9,Mark,cat,British Shorthair,male,2019
pet002,2024-11-15,295,12.5,9,3.1,Steven,cat,Munchkin,male,2022
pet011,2024-08-21,276,13.7,0,5.5,Lisa,dog,Siamese,female,2020
pet007,2025-01-18,221,15.7,1,6.5,Nicholas,dog,Persian,female,2018
pet001,2025-01-17,157,16.8,1,5.9,Charlene,dog,Siamese,female,2022
pet006,2024-07-25,170,12.1,7,5.3,Sandra,dog,Siamese,female,2022
pet018,2024-12-21,159,13.9,5,5.2,Amy,cat,Bengal,female,2016
pet004,2024-09-05,205,14.6,1,5.7,Oscar,cat,Bengal,female,2019
pet010,2025-06-07,151,16.0,6,3.7,Chris,dog,British Shorthair,male,2021
pet020,2025-05-20,188,12.3,9,3.4,Veronica,cat,Munchkin,male,2022
pet016,2025-04-07,269,16.0,1,3.5,Mark,cat,British Shorthair,male,2019
pet013,2024-09-01,257,17.8,3,2.8,Adam,dog,British Shorthair,male,2018
pet002,2024-10-03,211,15.1,5,6.4,Steven,cat,Munchkin,male,2022
pet008,2024-08-18,175,12.4,0,5.8,Jessica,cat,British Shorthair,female,2022
pet011,2025-02-18,249,13.7,6,4.1,Lisa,dog,Siamese,female,2020
pet015,2024-07-22,171,14.2,9,5.2,Jose,dog,Munchkin,female,2016
pet001,2024-07-27,278,17.8,8,3.7,Charlene,dog,Siamese,female,2022
pet019,2024-07-31,203,15.4,1,3.2,Mark,cat,Munchkin,female,2020
pet014,2024-09-16,218,17.9,3,2.6,Kent,dog,Munchkin,female,2016
pet013,2024-11-04,173,12.7,5,3.7,Adam,dog,British Shorthair,male,2018
pet016,2024-09-14,181,16.4,9,5.3,Mark,cat,British Shorthair,male,2019
pet015,2024-11-13,169,15.6,4,3.1,Jose,dog,Munchkin,female,2016
pet003,2024-09-04,196,16.2,1,3.1,Angelica,dog,Siamese,male,2020
pet001,2025-01-03,199,16.0,3,5.7,Charlene,dog,Siamese,female,2022
pet017,2025-01-17,181,16.0,2,4.8,Tracy,cat,Siamese,male,2017
pet011,2025-03-04,255,12.1,0,4.6,Lisa,dog,Siamese,female,2020
pet006,2024-07-29,202,12.2,9,5.8,Sandra,dog,Siamese,female,2022
pet002,2025-01-09,191,16.6,1,3.3,Steven,cat,Munchkin,male,2022
pet014,2025-05-06,250,13.2,6,3.7,Kent,dog,Munchkin,female,2016
pet003,2025-05-08,279,12.1,8,2.6,Angelica,dog,Siamese,male,2020
pet006,2024-07-12,199,14.0,8,4.0,Sandra,dog,Siamese,female,2022
pet020,2024-12-08,229,16.8,6,3.8,Veronica,cat,Munchkin,male,2022
pet012,2024-09-05,196,16.7,7,5.9,Jessica,dog,Bengal,male,2019
pet006,2024-07-09,217,15.7,5,4.9,Sandra,dog,Siamese,female,2022
pet019,2024-10-18,219,17.4,1,4.5,Mark,cat,Munchkin,female,2020
pet011,2025-06-07,237,13.5,9,3.6,Lisa,dog,Siamese,female,2020
pet013,2025-05-20,184,12.0,5,4.9,Adam,dog,British Shorthair,male,2018
pet016,2025-04-28,204,16.3,6,4.4,Mark,cat,British Shorthair,male,2019
pet013,2025-06-28,289,16.0,3,2.6,Adam,dog,British Shorthair,male,2018
pet007,2024-10-03,198,14.3,0,4.3,Nicholas,dog,Persian,female,2018
pet001,2024-12-11,200,17.1,6,3.3,Charlene,dog,Siamese,female,2022
pet005,2024-09-22,277,13.3,2,3.8,Michael,cat,Persian,female,2018
pet007,2024-09-18,284,17.0,2,4.4,Nicholas,dog,Persian,female,2018
pet001,2024-08-23,177,12.9,10,5.0,Charlene,dog,Siamese,female,2022
pet012,2024-09-25,153,14.0,4,5.1,Jessica,dog,Bengal,male,2019
pet017,2025-02-20,197,12.6,8,3.9,Tracy,cat,Siamese,male,2017
pet020,2024-09-23,196,12.0,6,3.6,Veronica,cat,Munchkin,male,2022
pet012,2024-10-22,283,13.3,10,5.5,Jessica,dog,Bengal,male,2019
pet003,2024-11-28,290,17.8,6,6.0,Angelica,dog,Siamese,male,2020
pet010,2025-02-16,181,17.4,5,5.4,Chris,dog,British Shorthair,male,2021
pet016,2025-06-10,175,17.0,0,5.1,Mark,cat,British Shorthair,male,2019
pet015,2025-01-28,206,13.5,9,4.1,Jose,dog,Munchkin,female,2016
pet016,2025-06-28,202,17.7,0,2.7,Mark,cat,British Shorthair,male,2019
pet019,2025-02-22,153,15.6,6,3.8,Mark,cat,Munchkin,female,2020
pet004,2024-11-26,195,15.6,8,5.2,Oscar,cat,Bengal,female,2019
pet010,2024-08-14,212,14.6,8,2.8,Chris,dog,British Shorthair,male,2021
pet015,2024-11-02,291,16.9,3,3.0,Jose,dog,Munchkin,female,2016
pet001,2024-11-18,199,13.5,7,5.5,Charlene,dog,Siamese,female,2022
pet020,2025-02-06,286,13.4,7,6.4,Veronica,cat,Munchkin,male,2022
pet012,2025-03-19,202,17.9,1,4.2,Jessica,dog,Bengal,male,2019
pet016,2024-11-06,174,16.5,6,3.1,Mark,cat,British Shorthair,male,2019
pet012,2024-11-06,224,14.0,3,5.0,Jessica,dog,Bengal,male,2019
pet001,2024-10-08,205,16.2,8,5.2,Charlene,dog,Siamese,female,2022
pet012,2024-11-10,194,14.3,3,5.1,Jessica,dog,Bengal,male,2019
pet014,2024-07-13,221,17.8,5,5.5,Kent,dog,Munchkin,female,2016
pet012,2025-04-08,160,13.6,4,4.1,Jessica,dog,Bengal,male,2019
pet007,2025-05-18,272,17.7,4,5.5,Nicholas,dog,Persian,female,2018
pet010,2025-01-17,202,18.0,7,4.2,Chris,dog,British Shorthair,male,2021
pet007,2024-12-24,289,12.5,7,4.8,Nicholas,dog,Persian,female,2018
pet015,2024-10-25,218,17.6,0,5.5,Jose,dog,Munchkin,female,2016
pet002,2024-12-02,244,14.6,9,5.5,Steven,cat,Munchkin,male,2022
pet002,2025-03-06,226,13.5,0,4.5,Steven,cat,Munchkin,male,2022
pet010,2024-10-23,172,13.3,0,3.4,Chris,dog,British Shorthair,male,2021
pet017,2024-12-18,161,17.9,8,5.1,Tracy,cat,Siamese,male,2017
pet019,2025-01-28,269,17.7,2,2.8,Mark,cat,Munchkin,female,2020
pet002,2024-10-02,265,12.0,9,2.8,Steven,cat,Munchkin,male,2022
pet014,2025-07-03,240,13.0,3,3.0,Kent,dog,Munchkin,female,2016
pet016,2025-04-29,214,17.7,10,5.2,Mark,cat,British Shorthair,male,2019
pet020,2024-07-18,215,12.4,0,4.3,Veronica,cat,Munchkin,male,2022
pet020,2025-06-27,164,13.7,2,4.2,Veronica,cat,Munchkin,male,2022
pet012,2025-04-08,185,12.5,10,6.0,Jessica,dog,Bengal,male,2019
pet017,2025-04-12,230,17.0,9,2.7,Tracy,cat,Siamese,male,2017
pet019,2024-10-30,209,17.1,6,5.7,Mark,cat,Munchkin,female,2020
pet019,2025-01-10,243,17.2,8,3.4,Mark,cat,Munchkin,female,2020
pet007,2025-04-01,183,12.1,6,2.5,Nicholas,dog,Persian,female,2018
pet001,2025-06-20,290,14.0,0,4.4,Charlene,dog,Siamese,female,2022
pet014,2025-01-22,289,12.0,1,4.7,Kent,dog,Munchkin,female,2016
pet003,2025-03-27,158,17.6,2,3.5,Angelica,dog,Siamese,male,2020
pet020,2024-10-24,263,13.7,0,5.0,Veronica,cat,Munchkin,male,2022
pet005,2024-12-21,182,15.3,8,3.5,Michael,cat,Persian,female,2018
pet004,2024-09-26,235,14.5,10,4.4,Oscar,cat,Bengal,female,2019
pet005,2024-07-14,229,14.9,6,2.7,Michael,cat,Persian,female,2018
pet005,2024-10-12,210,15.1,9,2.8,Michael,cat,Persian,female,2018
pet012,2024-11-07,205,17.4,10,2.6,Jessica,dog,Bengal,male,2019
pet016,2024-08-12,253,16.9,10,4.1,Mark,cat,British Shorthair,male,2019
pet012,2024-08-31,277,16.0,3,5.3,Jessica,dog,Bengal,male,2019
pet018,2025-03-18,195,14.4,3,6.5,Amy,cat,Bengal,female,2016
pet018,2025-03-03,187,16.9,8,6.2,Amy,cat,Bengal,female,2016
pet002,2025-05-11,153,12.6,7,5.2,Steven,cat,Munchkin,male,2022
pet018,2025-06-23,256,14.8,0,4.8,Amy,cat,Bengal,female,2016
pet020,2025-04-11,188,16.0,10,4.4,Veronica,cat,Munchkin,male,2022
pet002,2025-01-29,289,13.2,10,5.3,Steven,cat,Munchkin,male,2022
pet006,2024-11-06,262,16.3,1,5.4,Sandra,dog,Siamese,female,2022
pet012,2024-08-08,222,15.1,8,5.9,Jessica,dog,Bengal,male,2019
pet010,2025-01-25,151,15.8,9,4.6,Chris,dog,British Shorthair,male,2021
pet006,2024-10-08,245,14.5,3,3.7,Sandra,dog,Siamese,female,2022
pet014,2025-04-27,185,16.7,1,6.5,Kent,dog,Munchkin,female,2016
pet016,2024-12-04,243,17.6,3,3.6,Mark,cat,British Shorthair,male,2019
pet019,2025-06-29,297,13.1,8,5.3,Mark,cat,Munchkin,female,2020
pet003,2024-12-03,233,17.8,2,2.8,Angelica,dog,Siamese,male,2020
pet002,2025-04-08,287,14.1,3,4.6,Steven,cat,Munchkin,male,2022
pet017,2025-01-03,295,14.8,5,4.3,Tracy,cat,Siamese,male,2017
pet011,2024-09-28,177,12.9,10,3.6,Lisa,dog,Siamese,female,2020
pet017,2025-03-30,257,15.9,2,2.9,Tracy,cat,Siamese,male,2017
pet004,2025-06-25,225,13.0,5,4.4,Oscar,cat,Bengal,female,2019
pet020,2024-09-13,263,14.4,3,6.5,Veronica,cat,Munchkin,male,2022
pet009,2024-07-09,243,17.9,3,6.3,Justin,cat,Persian,male,2015
pet004,2025-04-18,165,16.0,2,3.6,Oscar,cat,Bengal,female,2019
pet001,2025-06-19,184,14.6,10,5.7,Charlene,dog,Siamese,female,2022
pet009,2025-04-05,193,14.6,10,5.1,Justin,cat,Persian,male,2015
pet001,2024-08-24,273,13.6,7,4.2,Charlene,dog,Siamese,female,2022
pet015,2025-03-06,266,16.5,5,5.6,Jose,dog,Munchkin,female,2016
pet017,2025-02-19,156,13.2,7,4.2,Tracy,cat,Siamese,male,2017
pet001,2024-09-06,300,15.4,10,3.2,Charlene,dog,Siamese,female,2022
pet007,2024-08-26,285,13.0,8,5.0,Nicholas,dog,Persian,female,2018
pet018,2024-09-30,191,17.7,9,4.9,Amy,cat,Bengal,female,2016
pet007,2025-01-14,191,13.1,3,3.2,Nicholas,dog,Persian,female,2018
pet013,2025-03-31,285,13.1,1,2.7,Adam,dog,British Shorthair,male,2018
pet018,2025-06-27,167,12.1,2,2.9,Amy,cat,Bengal,female,2016
pet020,2025-05-02,285,13.1,2,5.7,Veronica,cat,Munchkin,male,2022
pet005,2024-09-22,183,12.9,4,5.1,Michael,cat,Persian,female,2018
pet018,2025-05-02,150,15.0,9,3.7,Amy,cat,Bengal,female,2016
pet006,2025-04-12,221,15.1,8,4.4,Sandra,dog,Siamese,female,2022
pet009,2025-02-01,232,15.1,4,4.4,Justin,cat,Persian,male,2015
pet004,2025-01-10,168,14.9,10,5.4,Oscar,cat,Bengal,female,2019
pet003,2025-02-01,263,13.2,1,3.0,Angelica,dog,Siamese,male,2020
pet006,2025-05-26,213,12.4,7,3.3,Sandra,dog,Siamese,female,2022
pet013,2024-11-29,200,12.8,2,4.9,Adam,dog,British Shorthair,male,2018
pet010,2025-01-20,289,15.9,2,3.9,Chris,dog,British Shorthair,male,2021
pet002,2025-03-25,280,14.3,5,5.7,Steven,cat,Munchkin,male,2022
pet004,2025-01-29,272,15.1,2,3.4,Oscar,cat,Bengal,female,2019
pet005,2024-09-28,289,16.5,2,4.6,Michael,cat,Persian,female,2018
pet013,2025-04-09,204,16.3,7,4.3,Adam,dog,British Shorthair,male,2018
pet016,2025-03-20,211,13.0,9,5.8,Mark,cat,British Shorthair,male,2019
pet018,2024-10-21,219,16.6,10,4.7,Amy,cat,Bengal,female,2016
pet016,2024-07-31,259,15.3,1,6.0,Mark,cat,British Shorthair,male,2019
pet005,2025-04-18,188,13.1,5,4.4,Michael,cat,Persian,female,2018
pet008,2024-12-31,216,14.3,2,4.1,Jessica,cat,British Shorthair,female,2022
pet016,2025-05-04,151,16.5,2,4.2,Mark,cat,British Shorthair,male,2019
pet003,2025-01-15,192,16.2,2,3.0,Angelica,dog,Siamese,male,2020
pet020,2024-07-17,238,12.3,6,5.2,Veronica,cat,Munchkin,male,2022
pet012,2024-12-18,217,14.8,3,4.3,Jessica,dog,Bengal,male,2019
pet004,2024-09-15,237,13.7,5,3.0,Oscar,cat,Bengal,female,2019
pet017,2024-08-17,219,16.4,1,4.7,Tracy,cat,Siamese,male,2017
pet012,2025-02-22,233,15.6,3,4.3,Jessica,dog,Bengal,male,2019
pet016,2025-05-09,171,16.1,5,3.5,Mark,cat,British Shorthair,male,2019
pet001,2025-06-24,227,17.6,8,6.1,Charlene,dog,Siamese,female,2022
pet007,2024-12-02,235,12.7,5,5.2,Nicholas,dog,Persian,female,2018
pet001,2025-03-07,282,15.4,9,6.2,Charlene,dog,Siamese,female,2022
pet001,2024-12-11,300,17.9,3,3.8,Charlene,dog,Siamese,female,2022
pet014,2025-03-08,187,15.9,5,4.2,Kent,dog,Munchkin,female,2016
pet017,2025-06-30,203,16.0,5,5.8,Tracy,cat,Siamese,male,2017
pet003,2024-11-30,183,12.8,7,2.6,Angelica,dog,Siamese,male,2020
pet003,2025-04-21,233,16.2,10,6.1,Angelica,dog,Siamese,male,2020
pet009,2025-03-29,182,14.6,1,4.3,Justin,cat,Persian,male,2015
pet003,2025-07-03,161,16.1,8,5.8,Angelica,dog,Siamese,male,2020
pet008,2024-09-03,255,18.0,5,3.7,Jessica,cat,British Shorthair,female,2022
pet013,2024-08-18,298,13.4,5,5.7,Adam,dog,British Shorthair,male,2018
pet002,2025-02-09,227,16.3,9,3.8,Steven,cat,Munchkin,male,2022
pet012,2025-04-04,151,15.2,3,3.2,Jessica,dog,Bengal,male,2019
pet013,2024-10-22,219,15.4,9,5.4,Adam,dog,British Shorthair,male,2018
pet005,2025-04-13,245,16.3,9,5.0,Michael,cat,Persian,female,2018
pet007,2024-08-05,287,15.1,4,3.4,Nicholas,dog,Persian,female,2018
pet016,2025-04-08,223,13.8,9,2.9,Mark,cat,British Shorthair,male,2019
pet014,2024-11-28,254,14.8,8,4.0,Kent,dog,Munchkin,female,2016
pet014,2024-07-05,254,12.8,1,4.3,Kent,dog,Munchkin,female,2016
pet003,2025-05-10,276,13.6,10,3.6,Angelica,dog,Siamese,male,2020
pet002,2024-08-21,272,14.4,1,5.9,Steven,cat,Munchkin,male,2022
pet011,2025-01-21,185,12.7,8,2.7,Lisa,dog,Siamese,female,2020
pet015,2024-10-30,218,15.5,5,6.0,Jose,dog,Munchkin,female,2016
pet002,2025-06-16,211,16.3,5,4.8,Steven,cat,Munchkin,male,2022
pet002,2024-08-15,228,17.3,8,3.9,Steven,cat,Munchkin,male,2022
pet001,2025-05-23,250,12.6,1,2.6,Charlene,dog,Siamese,female,2022
pet002,2024-11-20,290,17.5,8,6.1,Steven,cat,Munchkin,male,2022
pet006,2024-09-27,240,15.3,7,5.5,Sandra,dog,Siamese,female,2022
pet015,2025-06-23,186,15.2,0,6.4,Jose,dog,Munchkin,female,2016
pet016,2024-10-06,169,15.1,8,4.1,Mark,cat,British Shorthair,male,2019
pet012,2025-03-08,195,13.9,9,5.1,Jessica,dog,Bengal,male,2019
pet002,2025-06-03,217,13.9,2,5.5,Steven,cat,Munchkin,male,2022
pet011,2025-03-15,178,17.6,9,4.4,Lisa,dog,Siamese,female,2020
pet005,2025-03-23,294,12.5,1,3.6,Michael,cat,Persian,female,2018
pet014,2024-10-28,213,16.9,9,4.3,Kent,dog,Munchkin,female,2016
pet008,2025-04-14,238,17.8,4,2.6,Jessica,cat,British Shorthair,female,2022
pet019,2024-07-17,161,14.0,6,5.5,Mark,cat,Munchkin,female,2020
pet005,2024-11-13,275,17.2,0,6.1,Michael,cat,Persian,female,2018
pet018,2024-07-19,165,17.8,4,5.2,Amy,cat,Bengal,female,2016
pet020,2024-09-14,218,14.7,0,5.1,Veronica,cat,Munchkin,male,2022
pet006,2024-11-04,271,16.6,2,3.6,Sandra,dog,Siamese,female,2022
pet006,2024-10-16,210,16.3,6,5.7,Sandra,dog,Siamese,female,2022
pet011,2024-10-27,168,13.4,2,5.4,Lisa,dog,Siamese,female,2020
pet002,2024-11-22,202,16.9,1,3.3,Steven,cat,Munchkin,male,2022
pet003,2024-11-11,265,16.8,5,2.9,Angelica,dog,Siamese,male,2020
pet008,2024-09-25,163,14.7,6,3.0,Jessica,cat,British Shorthair,female,2022
pet020,2025-03-05,295,15.9,7,4.1,Veronica,cat,Munchkin,male,2022
pet013,2025-03-12,299,15.4,2,6.3,Adam,dog,British Shorthair,male,2018
pet004,2025-04-17,197,13.6,8,4.7,Oscar,cat,Bengal,female,2019
pet019,2025-02-02,249,15.9,2,5.4,Mark,cat,Munchkin,female,2020
pet008,2025-05-25,260,17.3,5,4.6,Jessica,cat,British Shorthair,female,2022
pet017,2024-09-04,183,13.5,1,3.5,Tracy,cat,Siamese,male,2017
pet011,2025-03-09,280,16.9,1,5.2,Lisa,dog,Siamese,female,2020
pet011,2025-06-08,153,12.0,10,4.5,Lisa,dog,Siamese,female,2020
pet004,2024-10-03,284,15.8,3,4.4,Oscar,cat,Bengal,female,2019
pet007,2025-03-07,162,13.7,3,3.4,Nicholas,dog,Persian,female,2018
pet009,2024-10-14,214,15.4,3,6.2,Justin,cat,Persian,male,2015
pet013,2025-01-13,181,16.0,9,3.9,Adam,dog,British Shorthair,male,2018
pet019,2024-08-08,293,15.6,2,6.5,Mark,cat,Munchkin,female,2020
pet016,2024-07-06,275,17.2,8,4.9,Mark,cat,British Shorthair,male,2019
pet005,2025-02-05,240,16.2,7,5.2,Michael,cat,Persian,female,2018
pet017,2024-08-09,236,15.9,2,3.7,Tracy,cat,Siamese,male,2017
pet005,2024-08-20,200,14.9,7,4.5,Michael,cat,Persian,female,2018
pet013,2025-04-10,166,14.6,5,3.5,Adam,dog,British Shorthair,male,2018
pet019,2024-11-06,231,14.2,5,3.9,Mark,cat,Munchkin,female,2020
pet017,2025-01-10,236,15.7,0,3.1,Tracy,cat,Siamese,male,2017
pet004,2025-03-28,191,18.0,10,4.8,Oscar,cat,Bengal,female,2019
pet018,2024-10-07,238,17.0,7,3.3,Amy,cat,Bengal,female,2016
pet015,2024-10-29,228,17.5,2,4.2,Jose,dog,Munchkin,female,2016
pet006,2025-03-31,279,17.0,8,3.8,Sandra,dog,Siamese,female,2022
pet004,2025-01-08,172,13.8,10,6.3,Oscar,cat,Bengal,female,2019
pet011,2024-12-04,271,12.7,5,2.8,Lisa,dog,Siamese,female,2020
pet001,2025-05-13,190,13.6,3,4.6,Charlene,dog,Siamese,female,2022
pet008,2024-07-22,258,14.1,8,4.1,Jessica,cat,British Shorthair,female,2022
pet003,2025-04-21,227,14.5,3,3.6,Angelica,dog,Siamese,male,2020
pet011,2024-12-13,153,12.2,1,4.5,Lisa,dog,Siamese,female,2020
pet016,2025-01-17,157,13.5,10,2.7,Mark,cat,British Shorthair,male,2019
pet011,2024-09-04,258,12.5,8,5.0,Lisa,dog,Siamese,female,2020
pet017,2025-05-06,277,17.7,7,3.7,Tracy,cat,Siamese,male,2017
pet002,2024-11-25,157,15.9,4,6.1,Steven,cat,Munchkin,male,2022
pet015,2025-02-03,281,15.9,4,6.4,Jose,dog,Munchkin,female,2016
pet013,2025-04-10,181,15.2,5,4.0,Adam,dog,British Shorthair,male,2018
pet020,2025-02-20,189,17.2,9,3.6,Veronica,cat,Munchkin,male,2022
pet016,2025-06-26,177,17.4,8,4.0,Mark,cat,British Shorthair,male,2019
pet012,2024-07-08,288,17.1,3,5.9,Jessica,dog,Bengal,male,2019
pet011,2024-07-23,276,13.4,6,4.6,Lisa,dog,Siamese,female,2020
pet015,2025-06-13,243,16.5,7,4.9,Jose,dog,Munchkin,female,2016
pet019,2024-11-08,152,13.6,2,5.7,Mark,cat,Munchkin,female,2020
pet010,2024-09-21,288,13.1,3,3.3,Chris,dog,British Shorthair,male,2021
pet010,2025-01-13,174,16.8,4,3.5,Chris,dog,British Shorthair,male,2021
pet017,2024-09-27,258,16.8,10,6.4,Tracy,cat,Siamese,male,2017
